Date,Close
3/3/2015,66.95
3/4/2015,64.88
3/5/2015,65.59
3/6/2015,64.56
3/9/2015,65.48
3/10/2015,63.76
3/11/2015,63.68
3/12/2015,64.95
3/13/2015,64.6
3/16/2015,66.43
3/17/2015,67.55
3/18/2015,68.55
3/19/2015,68.88
3/20/2015,67.69
3/23/2015,67.66
3/24/2015,67.37
3/25/2015,65.78
3/26/2015,65.99
3/27/2015,66.55
3/30/2015,66.85
3/31/2015,66.81
4/1/2015,66.08
4/2/2015,66.68
4/6/2015,67.94
4/7/2015,68.2
4/8/2015,68.21
4/9/2015,67.74
4/10/2015,67.64
4/13/2015,67.08
4/14/2015,66.91
4/15/2015,67.21
4/16/2015,67.91
4/17/2015,65.81
4/20/2015,66.9
4/21/2015,67.38
4/22/2015,67.71
4/23/2015,68.47
4/24/2015,67.83
4/27/2015,67.84
4/28/2015,66.89
4/29/2015,74.65
4/30/2015,72.82
5/1/2015,73.36
5/4/2015,71.6
5/5/2015,72.75
5/6/2015,73.79
5/7/2015,74.52
5/8/2015,72.4
5/11/2015,71.2
5/12/2015,71.77
5/13/2015,71.79
5/14/2015,72.88
5/15/2015,72.4
5/18/2015,72.8
5/19/2015,71.48
5/20/2015,70.16
5/21/2015,72.91
5/22/2015,75.01
5/26/2015,73.57
5/27/2015,73.95
5/28/2015,72.68
5/29/2015,72.75
6/1/2015,73.1
6/2/2015,72.9
6/3/2015,73.47
6/4/2015,72.21
6/5/2015,73.55
6/8/2015,71.84
6/9/2015,71.76
6/10/2015,73.03
6/11/2015,72.4
6/12/2015,71.77
6/15/2015,72.56
6/16/2015,73.4
6/17/2015,74.42
6/18/2015,75.71
6/19/2015,75
6/22/2015,74.78
6/23/2015,74.2
6/24/2015,73.5
6/25/2015,73.61
6/26/2015,72.34
6/29/2015,70
6/30/2015,69.63
7/1/2015,70.54
7/2/2015,70.42
7/6/2015,69.16
7/7/2015,70.26
7/8/2015,69.39
7/9/2015,69.96
7/10/2015,71.14
7/13/2015,71.05
7/14/2015,71.79
7/15/2015,71.36
7/16/2015,72.42
7/17/2015,72.81
7/20/2015,72.77
7/21/2015,73.83
7/22/2015,73.87
7/23/2015,72.21
7/24/2015,73.92
7/27/2015,72.46
7/28/2015,73.79
7/29/2015,73.88
7/30/2015,73.36
7/31/2015,73.3
8/3/2015,72.44
8/4/2015,71.89
8/5/2015,72.53
8/6/2015,70.43
8/7/2015,70.41
8/10/2015,71.27
8/11/2015,71.63
8/12/2015,71.04
8/13/2015,71.4
8/14/2015,72.99
8/17/2015,74.04
8/18/2015,72.58
8/19/2015,72.04
8/20/2015,67.82
8/21/2015,69.15
8/24/2015,65.17
8/25/2015,65.18
8/26/2015,68.52
8/27/2015,69.94
8/28/2015,70.25
8/31/2015,69.36
9/1/2015,66.63
9/2/2015,67.98
9/3/2015,68.25
9/4/2015,67.13
9/8/2015,70.76
9/9/2015,69.03
9/10/2015,69.74
9/11/2015,70.05
9/14/2015,69.89
9/15/2015,71.27
9/16/2015,71.88
9/17/2015,72.32
9/18/2015,71.4
9/21/2015,72.14
9/22/2015,71.65
9/23/2015,71.99
9/24/2015,71.71
9/25/2015,72.44
9/28/2015,69.04
9/29/2015,68.38
9/30/2015,69.43
10/1/2015,72.91
10/2/2015,73.93
10/5/2015,75.27
10/6/2015,74.42
10/7/2015,75
