Date,Close
11/19/2015,13.07
11/20/2015,12.85
11/23/2015,12.12
11/24/2015,12.02
11/25/2015,11.9
11/27/2015,12.05
11/30/2015,12.04
12/1/2015,11.91
12/2/2015,11.93
12/3/2015,11.92
12/4/2015,12.04
12/7/2015,12.36
12/8/2015,12.12
12/9/2015,11.99
12/10/2015,12.05
12/11/2015,11.95
12/14/2015,12.33
12/15/2015,12.47
12/16/2015,12.27
12/17/2015,12.32
12/18/2015,12.34
12/21/2015,12.24
12/22/2015,12.46
12/23/2015,12.5
12/24/2015,12.6
12/28/2015,12.83
12/29/2015,12.74
12/30/2015,12.78
12/31/2015,13.09
1/4/2016,12.16
1/5/2016,11.51
1/6/2016,11.52
1/7/2016,11.16
1/8/2016,11.31
1/11/2016,11.84
1/12/2016,12.09
1/13/2016,11.61
1/14/2016,10.82
1/15/2016,10.27
1/19/2016,9.47
1/20/2016,9.49
1/21/2016,10.02
1/22/2016,9.85
1/25/2016,9.81
1/26/2016,9.54
1/27/2016,9.05
1/28/2016,8.74
1/29/2016,8.77
2/1/2016,8.76
2/2/2016,8.47
2/3/2016,8.43
2/4/2016,8.9
2/5/2016,8.63
2/8/2016,8.37
2/9/2016,8.62
2/10/2016,8.88
2/11/2016,8.62
2/12/2016,9.3
2/16/2016,9.93
2/17/2016,9.84
2/18/2016,9.98
2/19/2016,9.97
2/22/2016,10.38
2/23/2016,9.71
2/24/2016,9.89
2/25/2016,10.26
2/26/2016,10.32
2/29/2016,10.44
3/1/2016,10.72
3/2/2016,11.97
3/3/2016,12.25
3/4/2016,12.01
3/7/2016,12.26
3/8/2016,11.48
3/9/2016,12.03
3/10/2016,11.3
3/11/2016,11.1
3/14/2016,11.61
3/15/2016,11.95
3/16/2016,11.87
3/17/2016,11.95
3/18/2016,12.04
3/21/2016,13.4
3/22/2016,13.06
3/23/2016,12.59
3/24/2016,12.88
3/28/2016,13.4
3/29/2016,13.74
3/30/2016,15.02
3/31/2016,15.28
4/1/2016,14.22
4/4/2016,14.28
4/5/2016,14.26
4/6/2016,14.97
4/7/2016,14.81
4/8/2016,15.13
4/11/2016,15.36
4/12/2016,15.48
4/13/2016,15.01
4/14/2016,14.82
4/15/2016,14.33
4/18/2016,14.51
4/19/2016,14.09
4/20/2016,13.63
4/21/2016,13.24
4/22/2016,13.34
4/25/2016,13.59
4/26/2016,14.18
4/27/2016,14.69
4/28/2016,15.35
4/29/2016,14.89
5/2/2016,14
5/3/2016,13.45
5/4/2016,13.39
5/5/2016,13.05
5/6/2016,10.22
5/9/2016,9.85
5/10/2016,10
5/11/2016,9.68
5/12/2016,9.28
5/13/2016,9.36
5/16/2016,9.16
5/17/2016,9.18
5/18/2016,9.4
5/19/2016,9.6
5/20/2016,9.39
5/23/2016,9.46
5/24/2016,10.14
5/25/2016,10
5/26/2016,9.75
5/27/2016,9.63
5/31/2016,9.53
6/1/2016,9.6
6/2/2016,9.65
6/3/2016,9.46
6/6/2016,9.51
6/7/2016,9.57
6/8/2016,9.55
6/9/2016,9.34
6/10/2016,9.14
6/13/2016,8.92
6/14/2016,8.89
6/15/2016,9.06
6/16/2016,9.05
6/17/2016,9.04
6/20/2016,9.2
6/21/2016,9.35
6/22/2016,8.78
6/23/2016,9.13
6/24/2016,8.77
6/27/2016,8.62
6/28/2016,8.9
6/29/2016,9.3
6/30/2016,9.05
7/1/2016,9.27
7/5/2016,8.94
7/6/2016,9
7/7/2016,9.08
7/8/2016,9.3
7/11/2016,9.24
7/12/2016,9.4
7/13/2016,9.29
7/14/2016,9.37
7/15/2016,9.17
7/18/2016,9.27
7/19/2016,9.35
7/20/2016,9.58
7/21/2016,9.46
7/22/2016,9.73
7/25/2016,9.85
7/26/2016,10.1
7/27/2016,10.13
7/28/2016,10.12
7/29/2016,10.07
8/1/2016,10.19
8/2/2016,10.05
8/3/2016,10.44
8/4/2016,11.32
8/5/2016,11.15
8/8/2016,11.26
8/9/2016,11.3
8/10/2016,11.07
8/11/2016,11.37
8/12/2016,11.66
8/15/2016,11.48
8/16/2016,11.64
8/17/2016,11.4
8/18/2016,11.75
8/19/2016,11.8
8/22/2016,11.82
8/23/2016,12.39
8/24/2016,12.16
8/25/2016,12.31
8/26/2016,12.04
8/29/2016,12.01
8/30/2016,12.07
8/31/2016,12.19
9/1/2016,12
9/2/2016,12.05
9/6/2016,11.83
9/7/2016,11.93
9/8/2016,11.78
9/9/2016,11.27
9/12/2016,11.33
9/13/2016,11.23
9/14/2016,11.28
9/15/2016,11.38
9/16/2016,11.37
9/19/2016,11.55
9/20/2016,11.66
9/21/2016,11.9
9/22/2016,11.68
9/23/2016,11.83
9/26/2016,11.55
9/27/2016,11.78
9/28/2016,11.83
9/29/2016,11.64
9/30/2016,11.66
10/3/2016,11.67
10/4/2016,11.63
10/5/2016,11.69
10/6/2016,11.52
10/7/2016,11.48
10/10/2016,11.47
10/11/2016,11.18
10/12/2016,11.27
10/13/2016,11.19
10/14/2016,11.12
10/17/2016,10.93
10/18/2016,11.34
10/19/2016,11.3
10/20/2016,11.19
10/21/2016,11.32
10/24/2016,11.35
10/25/2016,11.07
10/26/2016,11.21
10/27/2016,11.15
10/28/2016,11.14
10/31/2016,11.2
11/1/2016,11.07
11/2/2016,11.78
11/3/2016,11.99
11/4/2016,12.18
11/7/2016,12.22
11/8/2016,12.34
11/9/2016,12
11/10/2016,11.65
11/11/2016,11.88
11/14/2016,12.35
11/15/2016,12.03
11/16/2016,12.04
11/17/2016,12.22
11/18/2016,12.16
11/21/2016,12.22
11/22/2016,12.46
11/23/2016,12.43
11/25/2016,12.75
11/28/2016,12.53
11/29/2016,12.46
11/30/2016,12.94
12/1/2016,12.71
12/2/2016,13.06
12/5/2016,13.2
12/6/2016,13.27
12/7/2016,14.12
12/8/2016,13.94
12/9/2016,13.89
12/12/2016,13.85
12/13/2016,14.07
12/14/2016,13.83
12/15/2016,14.13
12/16/2016,14.38
12/19/2016,14.36
12/20/2016,14.48
12/21/2016,14.38
12/22/2016,14.05
12/23/2016,14.07
12/27/2016,14
12/28/2016,13.95
12/29/2016,13.73
12/30/2016,13.63
1/3/2017,13.81
1/4/2017,14.25
1/5/2017,14.56
1/6/2017,15
1/9/2017,15.06
1/10/2017,14.91
1/11/2017,14.9
1/12/2017,14.74
1/13/2017,14.75
1/17/2017,14.69
1/18/2017,14.64
1/19/2017,14.73
1/20/2017,14.89
1/23/2017,14.61
1/24/2017,14.66
1/25/2017,14.6
1/26/2017,14.41
1/27/2017,14.53
1/30/2017,14.45
1/31/2017,14.62
2/1/2017,14.36
2/2/2017,14.36
2/3/2017,14.28
2/6/2017,14.4
2/7/2017,14.4
2/8/2017,14.47
2/9/2017,14.73
2/10/2017,14.61
2/13/2017,14.5
2/14/2017,14.33
2/15/2017,14.31
2/16/2017,13.89
2/17/2017,14.47
2/21/2017,14.63
2/22/2017,15.04
2/23/2017,17.15
2/24/2017,17.43
2/27/2017,17.93
2/28/2017,17.32
3/1/2017,17.22
3/2/2017,16.99
3/3/2017,16.89
3/6/2017,16.86
3/7/2017,16.76
3/8/2017,16.83
3/9/2017,17.07
3/10/2017,16.91
3/13/2017,16.93
3/14/2017,16.77
3/15/2017,16.95
3/16/2017,17.21
3/17/2017,17.28
3/20/2017,17.24
3/21/2017,16.51
3/22/2017,16.41
3/23/2017,16.61
3/24/2017,16.59
3/27/2017,17.25
3/28/2017,17.23
3/29/2017,17.22
3/30/2017,17.32
3/31/2017,17.28
4/3/2017,17.03
4/4/2017,17.04
4/5/2017,16.75
4/6/2017,17
4/7/2017,16.69
4/10/2017,16.99
4/11/2017,16.92
4/12/2017,17.3
4/13/2017,16.92
4/17/2017,17.08
4/18/2017,16.98
4/19/2017,17.2
4/20/2017,17.71
4/21/2017,17.49
4/24/2017,17.85
4/25/2017,18.22
4/26/2017,18.08
4/27/2017,18.23
4/28/2017,18.24
5/1/2017,18.61
5/2/2017,18.81
5/3/2017,18.28
5/4/2017,19.9
5/5/2017,19.78
5/8/2017,19.56
5/9/2017,19.8
5/10/2017,19.95
5/11/2017,19.71
5/12/2017,20.08
5/15/2017,20.25
5/16/2017,20.34
5/17/2017,19.56
5/18/2017,19.68
5/19/2017,19.91
5/22/2017,20.95
5/23/2017,21.64
5/24/2017,21.92
5/25/2017,22.33
5/26/2017,22.33
5/30/2017,22.74
5/31/2017,22.99
6/1/2017,23.23
6/2/2017,23.2
6/5/2017,23.39
6/6/2017,24.21
6/7/2017,24.29
6/8/2017,24.78
6/9/2017,23.03
6/12/2017,23.6
6/13/2017,23.48
6/14/2017,23.47
6/15/2017,23.99
6/16/2017,23.56
6/19/2017,24.2
6/20/2017,23.85
6/21/2017,24.16
6/22/2017,24.28
6/23/2017,24.17
6/26/2017,23.93
6/27/2017,23.32
6/28/2017,24.3
6/29/2017,23.4
6/30/2017,23.46
7/3/2017,22.83
7/5/2017,23.76
7/6/2017,23.22
7/7/2017,23.59
7/10/2017,23.94
7/11/2017,25.44
7/12/2017,26.21
7/13/2017,25.98
7/14/2017,26.33
7/17/2017,26.19
7/18/2017,26.59
7/19/2017,26.36
7/20/2017,26.39
7/21/2017,26.85
7/24/2017,26.75
7/25/2017,26.89
