Date,Close
3/3/2015,68.83
3/4/2015,68.44
3/5/2015,68.53
3/6/2015,67.33
3/9/2015,67.86
3/10/2015,66.3
3/11/2015,66.19
3/12/2015,67.4
3/13/2015,66.26
3/16/2015,67.26
3/17/2015,66.13
3/18/2015,66.92
3/19/2015,66.81
3/20/2015,67.41
3/23/2015,67.08
3/24/2015,67.1
3/25/2015,65.73
3/26/2015,65.59
3/27/2015,65.54
3/30/2015,65.66
3/31/2015,65.41
4/1/2015,65.18
4/2/2015,65.29
4/6/2015,65.2
4/7/2015,65.8
4/8/2015,66.5
4/9/2015,66.44
4/10/2015,66.34
4/13/2015,65.61
4/14/2015,65.53
4/15/2015,65.68
4/16/2015,65.65
4/17/2015,64.52
4/20/2015,64.72
4/21/2015,65.35
4/22/2015,68.01
4/23/2015,67.72
4/24/2015,67.48
4/27/2015,67.1
4/28/2015,66.77
4/29/2015,67.34
4/30/2015,66.05
5/1/2015,65.77
5/4/2015,65.58
5/5/2015,65.96
5/6/2015,65.67
5/7/2015,66.58
5/8/2015,69.47
5/11/2015,69.02
5/12/2015,68.69
5/13/2015,68.65
5/14/2015,70
5/15/2015,69.57
5/18/2015,70
5/19/2015,70.16
5/20/2015,69.78
5/21/2015,69.37
5/22/2015,69.62
5/26/2015,68.54
5/27/2015,69.49
5/28/2015,69.56
5/29/2015,68.68
6/1/2015,69.11
6/2/2015,69.04
6/3/2015,68.95
6/4/2015,68.21
6/5/2015,68.37
6/8/2015,67.68
6/9/2015,67.95
6/10/2015,69.63
6/11/2015,69.64
6/12/2015,69.33
6/15/2015,68.57
6/16/2015,69.01
6/17/2015,68.75
6/18/2015,69.5
6/19/2015,68.69
6/22/2015,69.09
6/23/2015,69.42
6/24/2015,68.86
6/25/2015,68.62
6/26/2015,68.75
6/29/2015,66.72
6/30/2015,67.15
7/1/2015,67.85
7/2/2015,68.24
7/6/2015,68.12
7/7/2015,67.77
7/8/2015,66.73
7/9/2015,67.05
7/10/2015,68.42
7/13/2015,69.52
7/14/2015,70.1
7/15/2015,70.02
7/16/2015,70.57
7/17/2015,70.88
7/20/2015,72.7
7/21/2015,72.02
7/22/2015,71.97
7/23/2015,71.75
7/24/2015,74.8
7/27/2015,73.86
7/28/2015,74.74
7/29/2015,76.01
7/30/2015,76.38
7/31/2015,75.34
8/3/2015,75.77
8/4/2015,75.27
8/5/2015,74.98
8/6/2015,73.58
8/7/2015,74.21
8/10/2015,74.38
8/11/2015,73.36
8/12/2015,73.54
8/13/2015,73.93
8/14/2015,74.22
8/17/2015,74.41
8/18/2015,74.47
8/19/2015,74.4
8/20/2015,73.95
8/21/2015,71.19
8/24/2015,68.36
8/25/2015,66.97
8/26/2015,70.69
8/27/2015,72.4
8/28/2015,72.46
8/31/2015,71.3
9/1/2015,68.96
9/2/2015,69.62
9/3/2015,70.4
9/4/2015,69.16
9/8/2015,70.53
9/9/2015,69.6
9/10/2015,70.23
9/11/2015,70.76
9/14/2015,70.01
9/15/2015,70.51
9/16/2015,70.99
9/17/2015,70.96
9/18/2015,69.79
9/21/2015,70.78
9/22/2015,70.25
9/23/2015,70.95
9/24/2015,70.24
9/25/2015,70.69
9/28/2015,67.2
9/29/2015,68.53
9/30/2015,69.66
10/1/2015,69.99
10/2/2015,70.67
10/5/2015,72.23
10/6/2015,72.08
10/7/2015,73.22
10/8/2015,73.9
10/9/2015,73.98
10/12/2015,74.99
10/13/2015,75
10/14/2015,74.2
10/15/2015,75.34
10/16/2015,76
10/19/2015,76.99
10/20/2015,76.28
10/21/2015,75.46
10/22/2015,76.42
10/23/2015,77.07
10/26/2015,78.18
10/27/2015,77.52
10/28/2015,78.87
10/29/2015,78.51
10/30/2015,77.58
11/2/2015,75.22
11/3/2015,77.9
11/4/2015,78.35
11/5/2015,79.26
11/6/2015,78.75
11/9/2015,78.04
11/10/2015,79.48
11/11/2015,79.18
11/12/2015,78.31
11/13/2015,78.11
11/16/2015,78.9
11/17/2015,78.83
11/18/2015,80.46
11/19/2015,80.15
11/20/2015,80.19
11/23/2015,80.11
11/24/2015,79.79
11/25/2015,79.56
11/27/2015,79.84
11/30/2015,79.01
12/1/2015,79.91
12/2/2015,79.04
12/3/2015,78.29
12/4/2015,80.4
12/7/2015,79.55
12/8/2015,79.07
12/9/2015,77.88
12/10/2015,78.12
12/11/2015,76.11
12/14/2015,76.87
12/15/2015,78.62
12/16/2015,79.86
12/17/2015,78.69
12/18/2015,76.32
12/21/2015,77.17
12/22/2015,77.38
12/23/2015,78.56
12/24/2015,78.26
12/28/2015,78.53
12/29/2015,79.21
12/30/2015,78.35
12/31/2015,77.55
1/4/2016,75.7
1/5/2016,76.27
1/6/2016,75.27
1/7/2016,73.79
1/8/2016,72.88
1/11/2016,73.92
1/12/2016,74.76
1/13/2016,73.1
1/14/2016,73.8
1/15/2016,71.83
1/19/2016,71.39
1/20/2016,70.68
1/21/2016,71.56
1/22/2016,72.7
1/25/2016,71.74
1/26/2016,71.88
1/27/2016,70.91
1/28/2016,69.33
1/29/2016,74.49
2/1/2016,74.38
2/2/2016,73.4
2/3/2016,74.38
2/4/2016,73.68
2/5/2016,71.54
2/8/2016,67.77
2/9/2016,68.33
2/10/2016,70.15
2/11/2016,68.47
2/12/2016,70.42
2/16/2016,71.1
2/17/2016,72.03
2/18/2016,71.24
2/19/2016,71.53
2/22/2016,73.06
2/23/2016,72.15
2/24/2016,71.85
2/25/2016,73.27
2/26/2016,72.73
2/29/2016,72.39
3/1/2016,74.64
3/2/2016,74.3
3/3/2016,73.91
3/4/2016,73.9
3/7/2016,71.94
3/8/2016,70.62
3/9/2016,70.68
3/10/2016,70.22
3/11/2016,71.63
3/14/2016,71.49
3/15/2016,71.91
3/16/2016,72.37
3/17/2016,73.14
3/18/2016,73.78
3/21/2016,73.77
3/22/2016,72.96
3/23/2016,73.91
3/24/2016,74.14
